pos_x,pos_y,target_speed
-449.5953063964844,-127.80070495605467,80.0
-451.1388854980469,-127.67115783691406,80.0
-452.6750183105469,-127.54264068603516,80.0
-454.1961364746094,-127.4150619506836,80.0
-455.70220947265625,-127.2892608642578,80.0
-457.2481384277344,-127.15951538085938,80.0
-458.7783508300781,-127.03170013427734,80.0
-460.2924499511719,-126.90479278564452,80.0
-461.7914123535156,-126.78018188476562,80.0
-463.3279113769531,-126.65267181396484,79.65785769580327
-464.8482055664063,-126.52840423583984,78.84223623293295
-466.3527526855469,-126.40608978271484,77.63253612375661
-467.892822265625,-126.28219604492188,76.07197336284949
-469.4169006347656,-126.16036987304688,74.28934476514277
-470.9247131347656,-126.0411376953125,72.35133910467314
-472.4665222167969,-125.91993713378906,70.35133910467314
-473.99169921875,-125.79966735839844,68.35133910467314
-475.5007629394531,-125.68031311035156,66.35133910467313
-477.04144287109375,-125.5577392578125,64.35133910467313
-478.5621032714844,-125.43506622314452,62.35133910467313
-480.1008605957031,-125.30973815917967,60.35133910467314
-481.6170959472656,-125.18310546875,58.35133910467314
-483.1146240234375,-125.05105590820312,56.351339104673144
-484.6383972167969,-124.90705108642578,54.351339104673144
-486.1437377929688,-124.751953125,52.351339104673144
-487.6734313964844,-124.57323455810548,50.351339104673144
-489.1818542480469,-124.36811065673828,48.351339104673144
-490.6681518554688,-124.131591796875,46.351339104673144
-492.1725769042969,-123.85167694091795,44.351339104673144
-493.6509704589844,-123.53165435791016,42.351339104673144
-495.1421813964844,-123.1604461669922,40.35133910467314
-496.6040954589844,-122.74803161621094,38.35133910467313
-498.0353698730469,-122.294189453125,36.35133910467312
-499.4720458984375,-121.7848129272461,34.351339104673116
-500.873046875,-121.23052978515624,32.69348140886987
-502.27191162109375,-120.61491394042967,31.509102871740193
-503.629150390625,-119.95179748535156,30.718802980916532
-504.973388671875,-119.21845245361328,30.27936574182365
-506.2637939453125,-118.42792510986328,30.06199433953036
-507.5257568359375,-117.55792999267578,30.016133712803644
-508.7217102050781,-116.62787628173828,30.431387483759995
-509.8759460449219,-115.6175537109375,32.43138748376
-510.9499816894531,-114.54804229736328,32.75490332522686
-511.9580078125,-113.39649963378906,32.75490332522686
-512.8694458007812,-112.1935806274414,32.75490332522686
-513.69775390625,-110.91912078857422,32.75490332522686
-514.4200439453125,-109.5712432861328,32.75490332522686
-515.0335693359375,-108.17867279052734,32.75490332522686
-515.5529174804688,-106.74332427978516,32.75490332522686
-515.9973754882812,-105.2754898071289,32.75490332522686
-516.3677368164062,-103.8112335205078,32.75490332522686
-516.6878662109375,-102.31573486328124,32.75490332522686
-516.9708862304688,-100.81808471679688,32.75490332522686
-517.2319946289062,-99.31646728515624,32.75490332522686
-517.48828125,-97.8188018798828,32.75490332522686
-517.763427734375,-96.33696746826172,32.75490332522686
-518.0942993164062,-94.8620376586914,32.75490332522686
-518.5034790039062,-93.4128646850586,32.75490332522686
-518.9978637695312,-91.97765350341795,32.75490332522686
-519.5672607421875,-90.58604431152344,32.75490332522686
-520.2263793945312,-89.1996841430664,32.75490332522686
-520.955322265625,-87.86557006835938,32.75490332522686
-521.7669067382812,-86.56327056884766,32.75490332522686
-522.6354370117188,-85.33638000488281,32.75490332522686
-523.5803833007812,-84.15715026855469,32.73876961242321
-524.5994262695312,-83.03472900390625,32.323515841466865
-525.6890258789062,-81.97743225097656,30.32351584146686
-526.8483276367188,-80.99556732177734,30.0
-528.07177734375,-80.09806823730469,30.0
-529.357177734375,-79.2900619506836,30.0
-530.7012329101562,-78.55899047851562,30.0
-532.0643920898438,-77.91239166259766,30.0
-533.4798583984375,-77.32423400878906,30.0
-534.9072875976562,-76.81643676757812,30.01461411608417
-536.38232421875,-76.37329864501953,30.09042930346369
-537.8570556640625,-76.00421142578125,30.191766013938075
-539.3703002929688,-75.6966552734375,30.35477654797359
-540.8731079101562,-75.45540618896484,30.598608388712172
-542.4088134765625,-75.27349853515625,31.012814201702597
-543.9279174804688,-75.15164184570312,31.799732634932255
-545.4745483398438,-75.08561706542969,33.09542629971808
-546.9972534179688,-75.07656860351562,35.04920960494969
